ID,Name,State,Network,-2,-4,-8,-20,-40
1201,Tent Mtn Upper,NV,SNTL,40,40,40,40,40
15J22,"Tent Mtn., Lower - Aerial Marker",NV,SNTL,40,40,40,40,40
15J23,"Tent Mtn., Upper- Aerial Marker",NV,SNTL,40,40,40,40,40
1136,Toe Jam,NV,SNTL,40,40,40,40,40
16H07,Toe Jam - Aerial Marker,NV,SNTL,40,40,40,40,40
15H08,Tremewan Ranch,NV,SNTL,40,40,40,40,40
1200,Trout Creek Upper,NV,SNTL,40,40,40,40,40
15H10,"Trout Creek, Lower",NV,SNTL,40,40,40,40,40
15H11,"Trout Creek, Upper - AM",NV,SNTL,40,40,40,40,40
1137,Vacarro Springs,NV,SNTL,40,40,40,40,40
849,Ward Mountain,NV,SNTL,40,40,40,40,40
1147,Wheeler Peak,NV,SNTL,40,40,40,40,40
15L01,White River #1,NV,SNTL,40,40,40,40,40
1213,White River Nv      ,NV,SNTL,40,40,40,40,40
1138,Navajo Whiskey Ck,NM,SNTL,40,40,40,40,40
359,Bostetter R.S.,ID,SNTL,40,40,40,40,40
14G08,Langford Flat Creek,ID,SNTL,40,40,40,40,40
610,Magic Mountain,ID,SNTL,40,40,40,40,40
871,Wilson Creek,ID,SNTL,40,40,40,40,40
1030,Arapaho Ridge,CO,SNTL,40,40,40,40,40
1061,Bear River,CO,SNTL,40,40,40,40,40
1041,Beaver Ck Village,CO,SNTL,40,40,40,40,40
335,Berthoud Summit,CO,SNTL,40,40,40,40,40
345,Bison Lake,CO,SNTL,40,40,40,40,40
1185,Black Mesa          ,CO,SNTL,40,40,40,40,40
913,Buffalo Park,CO,SNTL,40,40,40,40,40
378,Burro Mountain,CO,SNTL,40,40,40,40,40
380,Butte,CO,SNTL,40,40,40,40,40
386,Cascade,CO,SNTL,40,40,40,40,40
387,Cascade #2,CO,SNTL,40,40,40,40,40
1101,Chapman Tunnel,CO,SNTL,40,40,40,40,40
409,Columbine Pass,CO,SNTL,40,40,40,40,40
904,Columbus Basin,CO,SNTL,40,40,40,40,40
415,Copper Mountain,CO,SNTL,40,40,40,40,40
426,Crosho,CO,SNTL,40,40,40,40,40
457,Dry Lake,CO,SNTL,40,40,40,40,40
465,El Diente Peak,CO,SNTL,40,40,40,40,40
467,Elk River,CO,SNTL,40,40,40,40,40
1120,Elliot Ridge,CO,SNTL,40,40,40,40,40
1186,Fool Creek,CO,SNTL,40,40,40,40,40
485,Fremont Pass,CO,SNTL,40,40,40,40,40
505,Grizzly Peak,CO,SNTL,40,40,40,40,40
1187,High Lonesome       ,CO,SNTL,40,40,40,40,40
531,Hoosier Pass,CO,SNTL,40,40,40,40,40
538,Idarado,CO,SNTL,40,40,40,40,40
542,Independence Pass,CO,SNTL,40,40,40,40,40
547,Ivanhoe,CO,SNTL,40,40,40,40,40
970,Jones Pass,CO,SNTL,40,40,40,40,40
556,Kiln,CO,SNTL,40,40,40,40,40
565,Lake Irene,CO,SNTL,40,40,40,40,40
586,Lizard Head Pass,CO,SNTL,40,40,40,40,40
589,Lone Cone,CO,SNTL,40,40,40,40,40
940,Lost Dog,CO,SNTL,40,40,40,40,40
607,Lynx Pass,CO,SNTL,40,40,40,40,40
905,Mancos,CO,SNTL,40,40,40,40,40
618,Mc Clure Pass,CO,SNTL,40,40,40,40,40
1040,Mccoy Park,CO,SNTL,40,40,40,40,40
622,Mesa Lakes,CO,SNTL,40,40,40,40,40
1014,Middle Fork Camp,CO,SNTL,40,40,40,40,40
629,Mineral Creek,CO,SNTL,40,40,40,40,40
632,Molas Lake,CO,SNTL,40,40,40,40,40
658,Nast Lake,CO,SNTL,40,40,40,40,40
669,North Lost Trail,CO,SNTL,40,40,40,40,40
675,Overland Res.,CO,SNTL,40,40,40,40,40
680,Park Cone,CO,SNTL,40,40,40,40,40
682,Park Reservoir,CO,SNTL,40,40,40,40,40
688,Phantom Valley,CO,SNTL,40,40,40,40,40
701,Porphyry Creek,CO,SNTL,40,40,40,40,40
709,Rabbit Ears,CO,SNTL,40,40,40,40,40
713,Red Mountain Pass,CO,SNTL,40,40,40,40,40
717,Ripple Creek,CO,SNTL,40,40,40,40,40
737,Schofield Pass,CO,SNTL,40,40,40,40,40
739,Scotch Creek,CO,SNTL,40,40,40,40,40
1060,Sharkstooth,CO,SNTL,40,40,40,40,40
762,Slumgullion,CO,SNTL,40,40,40,40,40
780,Spud Mountain,CO,SNTL,40,40,40,40,40
793,Stillwater Creek,CO,SNTL,40,40,40,40,40
797,Stump Lakes,CO,SNTL,40,40,40,40,40
802,Summit Ranch,CO,SNTL,40,40,40,40,40
825,Tower,CO,SNTL,40,40,40,40,40
827,Trapper Lake,CO,SNTL,40,40,40,40,40
840,Upper San Juan,CO,SNTL,40,40,40,40,40
1141,Upper Taylor,CO,SNTL,40,40,40,40,40
842,Vail Mountain,CO,SNTL,40,40,40,40,40
843,Vallecito,CO,SNTL,40,40,40,40,40
1188,Wager Gulch,CO,SNTL,40,40,40,40,40
1160,Weminuche Creek,CO,SNTL,40,40,40,40,40
869,Willow Creek Pass,CO,SNTL,40,40,40,40,40
874,Wolf Creek Summit,CO,SNTL,40,40,40,40,40
20H08,Adin Mountains,CA,SNTL,40,40,40,40,40
301,Adin Mtn,CA,SNTL,40,40,40,40,40
23G16,Althouse #3,CA,SNTL,40,40,40,40,40
20H14,Blue Lake Ranch,CA,SNTL,40,40,40,40,40
356,Blue Lakes,CA,SNTL,40,40,40,40,40
1051,Burnside Lake,CA,SNTL,40,40,40,40,40
20L11,Caples Lakes (Ca),CA,SNTL,40,40,40,40,40
1067,Carson Pass,CA,SNTL,40,40,40,40,40
19L04,"Carson Pass, Upper",CA,SNTL,40,40,40,40,40
20K28,Castle Creek,CA,SNTL,40,40,40,40,40
