BasinName,BasinSites,HUCS
ST. MARY,482;13A03;13A14;13Z08;613;13A16;13A07;13A06;13A08,
"CYPRESS HILLS, CANADA",10Z04;10Z05;10Z06;10Z07;10Z08;10Z09,1908010800
BEARPAW MOUNTAINS,09A08;MPRCTU08;917;09A07;MPRCTU07,
MILK RIVER BASIN,09A08;MPRCTU08;10Z04;10Z05;10Z06;10Z07;917;10Z08;10Z09;09A07;MPRCTU07,1005
ST. MARY & MILK MOUNTAIN,09A08;MPRCTU08;482;10Z04;10Z05;13A03;13A14;13Z08;613;13A16;10Z06;10Z07;13A07;13A06;13A08;917;10Z08;10Z09;09A07;MPRCTU07,1005
ST. MARY & MILK VALLEY,COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415,1005
ST. MARY & MILK BASINS,09A08;MPRCTU08;482;10Z04;10Z05;13A03;13A14;13Z08;613;13A16;10Z06;10Z07;13A07;13A06;13A08;917;10Z08;10Z09;09A07;MPRCTU07;COOP7292;COOP1722;COOP3110;COOP3530;COOP3558;COOP3996;COOP4174;COOP4766;COOP5338;COOP6236;COOP6238;COOP7620;COOP8415,1005
MISSOURI MAINSTEM BASIN,307;09C05;360;09A08;MPRCTU08;12B06;12C05;427;919;437;458;10C13;1106;10C07;10C14;12A01;487;12B07;10Z04;10Z05;10C11;10B02;MPRCMB02;10B01;MPRCMB01;10C12;13A14;13A05;10Z06;10Z07;13A07;649;903;1008;690;700;722;917;10Z08;10Z09;781;12C01;1009;09A07;MPRCTU07;12C02;12C03;893;847;876;12B04;12B03,
YELLOWSTONE ab LIVINGSTON,384;10D05;480;10E04;10E01;10E19;670;683;15B24;754;806;807;816;862;878,
SHIELDS,365;10C13;700;725;929,10070003
BOULDER-STILLWATER,363;1105;635;696,
RED LODGE-ROCK CREEK,09D14;981;09D01;407;09D04;09D17,
CLARK'S FORK,326;472;480;670;683;862;875,
